State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
ALABAMA,2014,328915,276,2005,4701,13745,154094,39715,104238,10141,3781708,2160842,57.1,2014290,53.3,146552,6.8,33860,38591,1,2,61,1,0,17,3579,7,1069,649,502,0,0,3,5891,87.1,96.2,63.8,93.3,366,206,48,1763,1243,1023,165,712,145,250,4.7,7,11455,7131,567,7698,1398,2359,3757,246,3398260
ALASKA,2014,45352,41,771,629,3243,20334,3150,15445,1739,539842,365383,67.7,340302,63,25081,6.9,50997,72354,0,2,4,0,0,4,361,5,117,143,76,0,0,2,714,106.3,101.3,144.4,96.7,103,63,9,307,163,124,20,94,22,34,4.7,7,1938,1145,113,1258,231,449,680,33,732371
ARIZONA,2014,457396,319,3378,6249,16970,215240,43562,154091,17587,5176387,3099884,59.9,2889380,55.8,210504,6.8,34518,40663,2,5,56,4,0,20,4260,11,1057,1400,786,0,0,9,7610,96,97.5,91.4,97.3,670,438,118,2782,1180,1002,203,920,210,362,4.7,7,22817,11335,1328,12663,4762,5392,10154,123,6731484
ARKANSAS,2014,212279,165,1763,2050,10265,99018,24790,68627,5601,2286193,1316506,57.6,1237248,54.1,79258,6,34625,38058,5,1,9,1,0,7,472,1,159,171,104,1,0,2,933,86.9,94.7,62.9,93.3,247,149,22,1012,842,679,115,441,101,161,4.7,7,9380,5407,510,5917,1476,1987,3463,290,2968654
CALIFORNIA,2014,2048093,1699,11527,48680,91803,947192,202670,592670,151852,29977049,18714706,62.4,17310937,57.7,1403769,7.5,45204,59915,10,29,278,3,2,121,15570,265,6710,7501,4350,8,0,43,34890,113.7,103.7,147.4,106.6,4170,2673,656,15834,5729,4769,1090,5241,1093,1819,4.7,7,118491,67124,10066,77190,15230,26071,41301,467,33283385
COLORADO,2014,287574,151,3039,3039,10325,135510,23472,99464,12574,4140599,2802528,67.7,2662404,64.3,140124,5,44502,55270,3,3,34,1,1,13,1919,0,541,550,321,2,0,1,3389,102,99.6,111.3,99.1,824,603,109,2640,1091,842,148,710,158,250,4.7,7,15009,9075,1403,10478,1480,3051,4531,215,4890971
CONNECTICUT,2014,146662,86,782,3159,4495,69070,11955,51005,6110,2866473,1887428,65.8,1762564,61.5,124864,6.6,55915,66152,0,2,14,8,0,11,646,435,288,280,142,3,0,1,1830,108.6,104.2,116.4,109.1,382,237,64,1791,626,503,97,454,92,167,4.7,7,10461,7811,823,8634,758,1069,1827,104,3596677
DELAWARE,2014,60376,54,386,1269,2867,27900,5768,20865,1267,736528,452187,61.4,426325,57.9,25862,5.7,40917,68097,0,1,8,0,0,0,522,0,187,120,111,0,0,0,949,101.1,99.1,101.8,103,99,59,14,434,217,181,28,136,27,49,4.7,7,3243,1952,242,2194,443,606,1049,56,934360
FLORIDA,2014,1466413,1149,8563,24914,72895,679446,143220,493647,42579,15941053,9567295,60,8966245,56.2,601050,6.3,38574,40577,4,7,205,14,3,17,11238,35,3761,2522,1762,1,1,22,19592,99.4,98.2,105,97,1794,1166,321,8747,3971,3404,576,2463,529,894,4.7,7,60714,30832,5222,36054,9061,15599,24660,294,15848743
GEORGIA,2014,700729,580,3048,12417,22052,331316,76428,228034,26854,7650228,4738946,61.9,4403433,57.6,335513,7.1,35480,46253,3,4,79,5,0,20,6984,4,1963,1266,898,4,0,11,11241,92,96.9,79,95.1,869,585,114,3891,2045,1653,306,1365,293,491,4.7,7,26853,16711,3170,19881,2283,4689,6972,413,7907103
